;;;;;;Shot;BP;BP3rd;BPBox;Goal;Cross;PassBox;Pass3rd;Corner;TackWon;Danger;OutpOpp;Shot_diff;BP_diff;BP3rd_diff;BPBox_diff;Goal_diff;Cross_diff;PassBox_diff;Pass3rd_diff;Corner_diff;TackWon_diff;Danger_diff;OutpOpp_diff;EntrBox;Entr3rd;EntrBox_diff;Entr3rd_diff
1;Team_1;Team_2;6393;6517;40;0;0;0;0;0;0;0;0;0;0;0;0;0;-96;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;6518;6642;41;0;0;0;0;0;0;0;0;0;0;0;0;0;-68;-29;0;0;0;0;0;0;0;-0,308992843;-2;0;0;-1;0
1;Team_1;Team_2;6643;7270;42;0;40;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7271;7395;43;0;45;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7396;7520;44;0;13;0;0;0;0;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7521;7645;45;0;3;0;0;0;0;0;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7646;7770;46;0;0;0;0;0;0;0;0;0;0;0;0;0;-77;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7771;7895;47;0;0;0;0;0;0;0;0;0;0;0;0;0;-81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;7896;8020;48;0;0;0;0;0;0;0;0;0;0;0;0;0;-107;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;8021;8145;49;0;39;0;0;0;0;0;0;0;1;0;0;0;-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;8146;8270;50;0;72;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;8271;8395;51;0;96;36;0;0;0;0;0;0;1;0;0;0;96;36;0;0;0;0;0;0;0;0;0;0;1;1;0
1;Team_1;Team_2;8396;8520;52;0;89;64;0;0;0;0;0;0;0;0;3;0;89;64;0;0;0;0;0;0;0;0;3;0;0;0;0
1;Team_1;Team_2;8521;8645;53;0;40;34;0;0;1;0;0;0;0;0;0;0;17;34;0;0;1;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;8646;8770;54;0;110;86;0;0;0;0;0;0;1;0;1;0;110;86;0;0;0;0;0;0;0;0;1;0;0;0;0
1;Team_1;Team_2;8771;8895;55;0;107;107;22;0;0;0;1;0;0;0;1;0;107;107;22;0;0;0;1;0;0;0;1;1;0;0;1
1;Team_1;Team_2;8896;9020;56;1;60;60;60;0;0;0;0;0;0;0;0;1;53;60;60;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;9021;9145;57;0;0;0;0;0;0;0;0;0;1;0;0;0;-124;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;9146;9270;58;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;9271;9395;59;0;0;0;0;0;0;0;0;0;0;0;0;0;-90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;9396;9520;60;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;-2;0;0;0;0
1;Team_1;Team_2;9521;9645;61;0;0;0;0;0;0;0;0;0;0;0;0;0;-72;-12;0;0;0;0;-1;0;0;-0,651719751;-2;0;0;-1;0
1;Team_1;Team_2;9646;10040;62;0;0;0;0;0;0;0;0;0;1;0;0;0;-56;-40;0;0;0;0;-1;0;0;-0,420927021;0;0;0;0;0
1;Team_1;Team_2;10041;10165;63;0;0;0;0;0;0;0;0;0;0;0;0;0;-87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;10166;10591;64;0;47;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;10592;10858;65;0;21;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;10859;10983;66;0;66;0;0;0;0;0;0;0;2;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;10984;11108;67;0;106;0;0;0;0;0;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11109;11233;68;0;75;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11234;11358;69;0;90;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11359;11483;70;0;58;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11484;11608;71;0;66;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11609;11733;72;0;68;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;11734;11858;73;0;70;0;0;0;0;0;0;0;0;0;4;0;70;0;0;0;0;0;0;0;0;0;4;0;0;0;0
1;Team_1;Team_2;11859;11983;74;0;73;73;0;0;0;0;2;0;0;0;4;0;73;73;0;0;0;0;2;0;0;0;4;0;1;1;0
1;Team_1;Team_2;11984;12108;75;1;3;3;3;0;0;0;0;0;0;7,110116659;0;1;-106;3;3;0;0;0;0;0;0;7,110116659;0;1;0;0;1
1;Team_1;Team_2;12109;12233;76;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;12234;12358;77;0;0;0;0;0;0;0;0;0;0;0;0;0;-115;0;0;0;0;0;0;0;0;0;-8;0;0;0;0
1;Team_1;Team_2;12359;12483;78;0;0;0;0;0;0;0;0;0;0;0;0;0;-12;-12;0;0;0;0;0;0;0;-0,644166999;0;0;0;-1;0
1;Team_1;Team_2;12484;12608;79;0;77;0;0;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;12609;12733;80;0;0;0;0;0;0;0;0;0;0;0;0;0;-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;12734;12858;81;0;80;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;12859;12983;82;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;12984;13108;83;0;81;0;0;0;0;0;0;0;0;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13109;13233;84;0;76;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13234;13358;85;0;98;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13359;13483;86;0;74;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13484;13608;87;0;65;37;0;0;0;0;1;0;0;0,499728772;3;0;64;37;0;0;0;0;1;0;0;0,499728772;3;0;1;1;0
1;Team_1;Team_2;13609;13733;88;0;0;0;0;0;0;0;0;0;0;0;0;0;-61;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13734;13858;89;0;9;0;0;0;0;0;0;0;0;0;0;0;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13859;13983;90;0;112;0;0;0;0;0;0;0;1;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;13984;14108;91;0;116;0;0;0;0;0;0;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14109;14233;92;0;76;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14234;14358;93;0;67;0;0;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14359;14483;94;0;90;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14484;14608;95;0;61;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14609;14733;96;0;74;0;0;0;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;14734;14858;97;0;62;0;0;0;0;0;0;0;0;0;6;0;62;0;0;0;0;0;0;0;0;0;6;0;0;0;0
1;Team_1;Team_2;14859;14983;98;0;94;61;0;0;0;0;1;0;0;0,616869763;0;0;94;61;0;0;0;0;1;0;0;0,616869763;0;0;1;1;0
1;Team_1;Team_2;14984;15108;99;0;66;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;15109;15233;100;0;95;10;0;0;0;0;1;0;0;0;5;0;95;10;0;0;0;0;1;0;0;0;5;0;1;1;0
1;Team_1;Team_2;15234;15358;101;0;113;79;0;0;0;0;1;0;1;3,748333649;0;0;113;79;0;0;0;0;1;0;0;3,748333649;0;0;0;0;0
1;Team_1;Team_2;15359;15483;102;0;71;71;0;0;1;0;1;0;0;0;3;0;71;71;0;0;1;0;1;0;0;0;3;0;0;0;0
1;Team_1;Team_2;15484;15608;103;0;0;0;0;0;0;0;0;0;0;0;0;0;-104;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;15609;15733;104;0;0;0;0;0;0;0;0;0;0;0;0;0;-89;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;15734;15858;105;0;0;0;0;0;0;0;0;0;0;0;0;0;-71;0;0;0;0;0;0;0;0;0;-1;0;0;0;0
1;Team_1;Team_2;15859;15983;106;0;70;0;0;0;0;0;0;0;1;0;0;0;39;-9;0;0;0;0;0;0;0;0;0;0;0;-1;0
1;Team_1;Team_2;15984;16108;107;0;95;0;0;0;0;0;0;0;1;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16109;16233;108;0;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16234;16358;109;0;38;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16359;16483;110;0;101;0;0;0;0;0;0;0;0;0;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16484;16608;111;0;65;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16609;16733;112;0;68;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16734;16858;113;0;62;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;16859;16983;114;0;66;5;0;0;0;0;1;0;0;0,745017127;4;0;66;5;0;0;0;0;1;0;0;0,745017127;4;0;1;1;0
1;Team_1;Team_2;16984;17385;115;0;46;46;0;0;0;0;0;0;0;0;0;0;33;46;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;17386;17510;116;0;0;0;0;0;0;0;0;0;0;0;0;0;-48;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;17511;17635;117;0;0;0;0;0;0;0;0;0;0;0;0;0;-53;0;0;0;0;0;0;0;0;0;-3;0;0;0;0
1;Team_1;Team_2;17636;17760;118;0;0;0;0;0;0;0;0;0;0;0;0;0;-76;-40;0;0;0;0;-1;0;0;-0,31538251;0;0;0;-1;0
1;Team_1;Team_2;17761;17885;119;0;0;0;0;0;0;0;0;0;0;0;0;0;-66;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;17886;18010;120;0;36;0;0;0;0;0;0;0;0;0;0;0;-17;-45;0;0;0;0;0;0;0;-0,381316769;-2;0;0;-1;0
1;Team_1;Team_2;18011;18148;121;0;2;0;0;0;0;0;0;0;0;0;0;0;-71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;18149;18273;122;0;0;0;0;0;0;0;0;0;0;0;0;0;-67;-7;0;0;0;0;-1;0;0;-0,307299321;-2;0;0;-1;0
1;Team_1;Team_2;18274;18398;123;0;0;0;0;0;0;0;0;0;0;0;0;0;-69;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;18399;18523;124;0;0;0;0;0;0;0;0;0;0;0;0;0;-78;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;18524;18648;125;0;0;0;0;0;0;0;0;0;0;0;0;0;-95;-88;0;0;0;0;0;0;0;0;-2;0;0;-1;0
1;Team_1;Team_2;18649;19623;126;0;47;0;0;0;0;0;0;0;1;0;0;0;24;-23;0;0;0;0;0;0;0;-0,603703665;0;0;0;0;0
1;Team_1;Team_2;19624;19748;127;0;61;0;0;0;0;0;0;0;1;0;3;0;61;0;0;0;0;0;0;0;0;0;3;0;0;0;0
1;Team_1;Team_2;19749;19873;128;0;125;0;0;0;0;0;0;0;1;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;19874;19998;129;0;42;34;0;0;0;0;1;0;0;0,704517815;0;0;42;34;0;0;0;0;1;0;0;0,704517815;0;0;1;1;0
1;Team_1;Team_2;19999;20123;130;0;117;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20124;20248;131;0;20;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20249;20373;132;0;68;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20374;20498;133;0;102;0;0;0;0;0;0;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20499;20623;134;0;91;89;0;0;0;0;1;0;0;0;3;0;91;89;0;0;0;0;1;0;0;0;3;0;1;1;0
1;Team_1;Team_2;20624;20748;135;0;54;54;4;0;1;0;1;0;0;6,897244152;3;0;40;54;4;0;1;0;1;0;0;6,897244152;3;1;0;0;1
1;Team_1;Team_2;20749;20873;136;0;10;0;0;0;0;0;0;0;0;0;0;0;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20874;20998;137;0;97;0;0;0;0;0;0;0;0;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;20999;21123;138;0;73;0;0;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;21124;21248;139;0;85;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;21249;21373;140;0;103;74;0;0;0;0;1;0;0;0;3;0;103;74;0;0;0;0;1;0;0;0;3;0;1;1;0
1;Team_1;Team_2;21374;21498;141;0;84;84;0;0;0;0;2;0;0;0;2;0;67;84;0;0;0;0;2;0;0;0;2;0;0;0;0
1;Team_1;Team_2;21499;21623;142;0;47;47;0;0;0;0;2;0;0;0;3;0;47;47;0;0;0;0;2;0;0;0;3;0;0;0;0
1;Team_1;Team_2;21624;21748;143;1;38;38;3;0;1;0;1;0;1;0;5;1;-16;38;3;0;1;0;1;0;0;0;5;1;0;0;1
1;Team_1;Team_2;21749;21873;144;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;21874;21998;145;0;0;0;0;0;0;0;0;0;0;0;0;0;-125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;21999;22123;146;0;0;0;0;0;0;0;0;0;0;0;0;0;-42;0;0;0;0;0;0;0;0;0;-10;0;0;0;0
1;Team_1;Team_2;22124;22248;147;0;3;0;0;0;0;0;0;0;0;0;0;0;-55;-58;0;0;0;0;0;0;0;-0,462240538;0;0;0;-1;0
1;Team_1;Team_2;22249;22373;148;0;125;0;0;0;0;0;0;0;1;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;22374;22498;149;0;112;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;22499;22623;150;0;67;0;0;0;0;0;0;0;1;0;2;0;67;0;0;0;0;0;0;0;0;0;2;0;0;0;0
1;Team_1;Team_2;22624;22748;151;0;92;39;0;0;0;0;0;0;0;0;0;0;92;39;0;0;0;0;0;0;0;0;0;0;1;1;0
1;Team_1;Team_2;22749;22873;152;1;43;43;5;0;0;0;2;0;0;10;4;1;15;43;5;0;0;0;2;0;0;10;4;1;0;0;1
1;Team_1;Team_2;22874;22998;153;0;0;0;0;0;0;0;0;0;0;0;0;0;-96;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;22999;23123;154;0;0;0;0;0;0;0;0;0;0;0;0;0;-81;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23124;23248;155;0;37;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23249;23373;156;0;89;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23374;23498;157;0;84;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23499;23623;158;0;82;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23624;23748;159;0;107;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23749;23873;160;0;93;37;0;0;0;0;1;0;0;0,722039168;5;0;93;37;0;0;0;0;1;0;0;0,722039168;5;0;1;1;0
1;Team_1;Team_2;23874;23998;161;0;74;47;0;0;0;0;1;0;0;0;0;0;74;47;0;0;0;0;1;0;0;0;0;0;0;0;0
1;Team_1;Team_2;23999;24123;162;0;82;0;0;0;0;0;0;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;24124;24248;163;0;99;67;0;0;0;0;1;0;1;0,55770913;4;0;99;67;0;0;0;0;1;0;0;0,55770913;4;0;1;1;0
1;Team_1;Team_2;24249;24373;164;0;70;23;0;0;0;0;0;0;0;0;0;0;70;23;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Team_1;Team_2;24374;24498;165;0;60;13;0;0;0;0;1;0;0;0;10;0;60;13;0;0;0;0;1;0;0;0;10;0;0;0;0
1;Team_1;Team_2;24499;24623;166;0;30;30;0;0;0;0;1;0;0;0;0;0;11;30;0;0;0;0;1;0;0;0;0;0;0;0;0
1;Team_1;Team_2;24624;24748;167;0;85;85;0;0;0;0;2;0;0;0;0;0;85;85;0;0;0;0;2;0;0;0;0;0;0;0;0
1;Team_1;Team_2;24749;24873;168;0;31;31;11;0;0;0;1;0;0;0;3;0;24;31;11;0;0;0;1;0;0;0;3;1;0;0;1
1;Team_1;Team_2;24874;24998;169;1;55;55;55;0;0;2;2;0;0;0;0;1;51;55;55;0;0;2;2;0;0;0;0;0;0;0;0
1;Team_1;Team_2;24999;25848;170;0;3;3;0;0;0;0;0;1;0;0,760308;0;0;3;3;0;0;0;0;0;1;0;0,760308;0;0;0;0;0
1;Team_1;Team_2;25849;26676;171;0;25;25;0;0;0;0;1;0;0;0;0;0;13;25;0;0;0;0;1;0;0;0;0;0;0;0;0
